priority_rank	quality_score	priority_reason	missing_fields	name	type	country	location	bio	current_linkedin	current_email	current_twitter	current_website	current_portfolio	linkedin_query	source_query	email_query	linkedin_to_fill	email_to_fill	website_to_fill	twitter_to_fill	source_url	review_status	notes	id
17	70	large_check_size: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Kara Nortman	vc	USA	Los Angeles, CA	Managing Partner at Upfront Ventures. Expert in consumer, games, and future of work.			https://twitter.com/karanortman			"site:linkedin.com/in ""Kara Nortman"" ""Upfront Ventures"""	"""Kara Nortman"" ""Upfront Ventures"" investor"	"""Kara Nortman"" email investor"								51c1ac43-7af1-4583-bfb7-3dca7a665e63
18	70	large_check_size: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Erica Brescia	vc	USA	Menlo Park, CA	Partner at Redpoint Ventures. Former COO of GitHub. Open source and dev tools expert.			https://twitter.com/ericabrescia			"site:linkedin.com/in ""Erica Brescia"" ""Redpoint Ventures"""	"""Erica Brescia"" ""Redpoint Ventures"" investor"	"""Erica Brescia"" email investor"								d01e8bd2-d8a1-4233-bbe3-4e3c8932acc0
19	70	large_check_size: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Jocelyn Goldfein	vc	USA	Menlo Park, CA	Managing Director at Zetta. Former Facebook and VMware. Expert in AI product.			https://twitter.com/jgoldfein			"site:linkedin.com/in ""Jocelyn Goldfein"" ""Zetta"""	"""Jocelyn Goldfein"" ""Zetta"" investor"	"""Jocelyn Goldfein"" email investor"								a7c67932-f85b-4b4c-8083-3364cc896a13
20	70	large_check_size: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Tom Hulme	vc	UK	London	General Partner at GV (Google Ventures). Design thinker and consumer expert.			https://twitter.com/thulme			"site:linkedin.com/company ""Tom Hulme"""	"""Tom Hulme"" investor official"	"""Tom Hulme"" email investor"								8fb143eb-21e5-46ef-8a88-0fb108d0c732
21	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Gustaf Alströmer	angel	USA	San Francisco, CA	YC Partner. Former Growth PM at Airbnb. Expert in growth and consumer products.			https://twitter.com/gustaf			"site:linkedin.com/in ""Gustaf Alströmer"" ""Airbnb"""	"""Gustaf Alströmer"" ""Airbnb"" investor"	"""Gustaf Alströmer"" email investor"								47ac8ce7-cdcb-4c86-bc61-b6266e2c8c24
22	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Sophia Bendz	vc	Sweden	Stockholm	Partner at Cherry Ventures. Former Global Head of Marketing at Spotify. Consumer expert.			https://twitter.com/sophiabendz			"site:linkedin.com/in ""Sophia Bendz"" ""Cherry Ventures"""	"""Sophia Bendz"" ""Cherry Ventures"" investor"	"""Sophia Bendz"" email investor"								850465e5-80e5-41c0-8670-101986858797
23	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Felix Haas	angel	Germany	Munich	Co-founder of Auctionata and IDnow. Partner at 10x Founders. Serial entrepreneur and angel.			https://twitter.com/felixhaas			"site:linkedin.com/in ""Felix Haas"" investor"	"""Felix Haas"" investor official"	"""Felix Haas"" email investor"								85c483cf-e02f-4e79-ba68-39862982e023
24	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Paul Santos	vc	Singapore	Singapore	Managing Partner at Wavemaker Partners. Expert in B2B SaaS and deep tech in SEA.			https://twitter.com/paulsantos			"site:linkedin.com/in ""Paul Santos"" ""Wavemaker Partners"""	"""Paul Santos"" ""Wavemaker Partners"" investor"	"""Paul Santos"" email investor"								3c7e61cb-e139-4fb1-afc0-cc5d436dba35
25	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Peng T. Ong	vc	Singapore	Singapore	Managing Partner at Monk's Hill Ventures. Serial entrepreneur. Expert in enterprise SaaS.			https://twitter.com/ptong			"site:linkedin.com/company ""Peng T. Ong"""	"""Peng T. Ong"" investor official"	"""Peng T. Ong"" email investor"								18a21cd8-0a70-469b-83d3-e0d8b21a58e0
26	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Joelle Emerson	angel	USA	San Francisco, CA	Founder and CEO of Paradigm. Angel investor in DEI-focused and inclusive tech.			https://twitter.com/joelleemerson			"site:linkedin.com/in ""Joelle Emerson"" investor"	"""Joelle Emerson"" investor official"	"""Joelle Emerson"" email investor"								9c83ba8c-c214-4b5b-a198-5d88d49f9f9b
27	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Sukhinder Singh Cassidy	angel	USA	San Francisco, CA	Founder of theBoardlist. Former CEO of StubHub. Angel investor in consumer and tech.			https://twitter.com/sukhindersc			"site:linkedin.com/in ""Sukhinder Singh Cassidy"" investor"	"""Sukhinder Singh Cassidy"" investor official"	"""Sukhinder Singh Cassidy"" email investor"								d78c7101-eb43-40cd-afce-36c9c6c0d1c4
28	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Nisha Dua	vc	USA	New York, NY	General Partner at BBG Ventures. Invests in female-founded consumer and tech companies.			https://twitter.com/nishadua			"site:linkedin.com/in ""Nisha Dua"" ""BBG Ventures"""	"""Nisha Dua"" ""BBG Ventures"" investor"	"""Nisha Dua"" email investor"								4d28a6b5-3563-47d4-8d16-066c62cce02e
29	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Kim-Mai Cutler	vc	USA	San Francisco, CA	Partner at Initialized Capital. Former journalist at TechCrunch. Expert in housing and urban tech.			https://twitter.com/kimmaicutler			"site:linkedin.com/in ""Kim-Mai Cutler"" ""Initialized Capital"""	"""Kim-Mai Cutler"" ""Initialized Capital"" investor"	"""Kim-Mai Cutler"" email investor"								1f63cbdd-0723-4212-a0db-da594d9b0857
30	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Alexia Bonatsos	vc	USA	San Francisco, CA	Founder of Dream Machine VC. Former TechCrunch editor. Invests in next-generation internet.			https://twitter.com/alexia			"site:linkedin.com/company ""Alexia Bonatsos"""	"""Alexia Bonatsos"" investor official"	"""Alexia Bonatsos"" email investor"								6e97634f-76d4-4b89-93c0-686d32704674
31	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Nihal Mehta	vc	USA	New York, NY	Founding General Partner at Eniac Ventures. Mobile ad pioneer. Angel in mobile-first startups.			https://twitter.com/nihalmehta			"site:linkedin.com/in ""Nihal Mehta"" ""Eniac Ventures"""	"""Nihal Mehta"" ""Eniac Ventures"" investor"	"""Nihal Mehta"" email investor"								c0f325a2-c0c9-40b8-a139-9902f00f6b32
32	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Turner Novak	angel	USA	New York, NY	Founder of Banana Capital. Expert in consumer, gaming, and creator economy. Active tweeter/analyst.			https://twitter.com/TurnerNovak			"site:linkedin.com/in ""Turner Novak"" investor"	"""Turner Novak"" investor official"	"""Turner Novak"" email investor"								33cb1d5d-bc6c-4662-ba87-46b1a5e94706
33	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Harry Stebbings	angel	UK	London	Founder of 20VC and 20Growth. Active angel investor. One of the most networked people in VC.			https://twitter.com/HarryStebbings			"site:linkedin.com/in ""Harry Stebbings"" investor"	"""Harry Stebbings"" investor official"	"""Harry Stebbings"" email investor"								8fda1fc7-2a88-411c-859b-8ce1b2119cef
34	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Linda Xie	vc	USA	San Francisco, CA	Co-founder of Scalar Capital. Former product manager at Coinbase. Crypto and DeFi expert.			https://twitter.com/ljxie			"site:linkedin.com/in ""Linda Xie"" ""Coinbase"""	"""Linda Xie"" ""Coinbase"" investor"	"""Linda Xie"" email investor"								a18f14df-4324-45c7-9228-c7038fcc66c0
35	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Sanjay Mehta	angel	India	Mumbai	Founder of 100X.VC. Most active angel investor in India with 100+ investments.			https://twitter.com/sanjaymehta1000			"site:linkedin.com/in ""Sanjay Mehta"" investor"	"""Sanjay Mehta"" investor official"	"""Sanjay Mehta"" email investor"								404176c6-ffbd-4941-8aa4-1ead480ff406
36	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Vikram Malhotra	vc	India	Hyderabad	Founding Partner at Anthill Ventures. Expert in Indian B2B SaaS and enterprise.			https://twitter.com/vimalhotra			"site:linkedin.com/in ""Vikram Malhotra"" ""Anthill Ventures"""	"""Vikram Malhotra"" ""Anthill Ventures"" investor"	"""Vikram Malhotra"" email investor"								a430660f-456e-4dae-9668-6c92292e768a
37	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Mbwana Alliy	vc	Kenya	Nairobi	Co-founder of Savannah Fund. Pioneer in East African tech investing. Backed 60+ startups.			https://twitter.com/mbwana			"site:linkedin.com/company ""Mbwana Alliy"""	"""Mbwana Alliy"" investor official"	"""Mbwana Alliy"" email investor"								4ffb6610-ab10-4ef7-8135-dd0ac1fa2eee
38	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Simeon Simeonov	angel	USA	Boston, MA	Founder of FastIgnite and angel in digital health and enterprise AI.			https://twitter.com/simeons			"site:linkedin.com/in ""Simeon Simeonov"" investor"	"""Simeon Simeonov"" investor official"	"""Simeon Simeonov"" email investor"								df10cad6-568c-4bc5-a0c2-f95183edf50b
39	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Unity Stoakes	vc	USA	New York, NY	Co-founder of StartUp Health. Expert in health innovation and digital health startups.			https://twitter.com/unitystoakes			"site:linkedin.com/company ""Unity Stoakes"""	"""Unity Stoakes"" investor official"	"""Unity Stoakes"" email investor"								c4ee9c56-b950-40d4-8b28-a9e424afd304
40	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Ryan Craig	vc	USA	New York, NY	Managing Partner at Achieve Partners. Expert in workforce training and alternative education.			https://twitter.com/ryancraig9			"site:linkedin.com/in ""Ryan Craig"" ""Achieve Partners"""	"""Ryan Craig"" ""Achieve Partners"" investor"	"""Ryan Craig"" email investor"								590734af-509f-45e3-a122-6916243c5fb1
41	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Renata Quintini	vc	USA	San Francisco, CA	Co-founder of Renegade Partners. Former partner at Lux Capital. Deep tech specialist.			https://twitter.com/quintini			"site:linkedin.com/in ""Renata Quintini"" ""Lux Capital"""	"""Renata Quintini"" ""Lux Capital"" investor"	"""Renata Quintini"" email investor"								0f8e8009-758a-4128-9490-2f6326598ab4
42	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Clelia Warburg Peters	vc	USA	New York, NY	Managing Partner at Era Ventures. Expert in proptech and real estate technology.			https://twitter.com/cleliaWP			"site:linkedin.com/in ""Clelia Warburg Peters"" ""Era Ventures"""	"""Clelia Warburg Peters"" ""Era Ventures"" investor"	"""Clelia Warburg Peters"" email investor"								c51494fe-a084-4f43-adb0-6d3506e77068
43	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Nik Milanovic	angel	USA	San Francisco, CA	Founder of This Week in Fintech. Active angel in fintech and payments startups.			https://twitter.com/NikMilanovic			"site:linkedin.com/in ""Nik Milanovic"" investor"	"""Nik Milanovic"" investor official"	"""Nik Milanovic"" email investor"								afd0bac0-25bc-496e-8495-c17cc5d85a74
44	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Sheel Mohnot	vc	USA	San Francisco, CA	Co-founder of Better Tomorrow Ventures. Fintech-focused seed fund. Former YC partner.			https://twitter.com/pitdesi			"site:linkedin.com/company ""Sheel Mohnot"""	"""Sheel Mohnot"" investor official"	"""Sheel Mohnot"" email investor"								4596bd82-22ea-4445-9d46-2f115ecced9b
45	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Ash Fontana	vc	USA	San Francisco, CA	Managing Director at Zetta Venture Partners. First book on AI-first companies. Expert in enterprise AI.			https://twitter.com/ashfontana			"site:linkedin.com/in ""Ash Fontana"" ""Zetta Venture Partners"""	"""Ash Fontana"" ""Zetta Venture Partners"" investor"	"""Ash Fontana"" email investor"								890a0683-55e6-4e4f-a4ab-ef5c4cc8316d
46	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	James Cham	vc	USA	San Francisco, CA	Partner at Bloomberg Beta. Expert in AI and the future of work. Author of AI roundup.			https://twitter.com/jamescham			"site:linkedin.com/in ""James Cham"" ""Bloomberg Beta"""	"""James Cham"" ""Bloomberg Beta"" investor"	"""James Cham"" email investor"								438603e0-9a90-41e4-9004-c1044160b768
47	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Nathan Benaich	vc	UK	London	General Partner at Air Street Capital. Focuses exclusively on AI/ML research and products.			https://twitter.com/nathanbenaich			"site:linkedin.com/in ""Nathan Benaich"" ""Air Street Capital"""	"""Nathan Benaich"" ""Air Street Capital"" investor"	"""Nathan Benaich"" email investor"								09cd0671-eb32-4d41-b104-55d6e6c6308f
48	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	David Teten	angel	USA	New York, NY	Founder of Versatile VC. Professor at Columbia. Expert in VC innovation and new models.			https://twitter.com/dteten			"site:linkedin.com/in ""David Teten"" ""Columbia"""	"""David Teten"" ""Columbia"" investor"	"""David Teten"" email investor"								5f96fad4-d62a-4516-8de4-ebaac054c6ff
49	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Anthony Pompliano	angel	USA	Los Angeles, CA	Founder of Pomp Investments. Bitcoin maximalist. Angel in fintech and crypto.			https://twitter.com/APompliano			"site:linkedin.com/in ""Anthony Pompliano"" investor"	"""Anthony Pompliano"" investor official"	"""Anthony Pompliano"" email investor"								b303ba3e-7b09-498e-b879-89ad37830b9b
50	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Packy McCormick	angel	USA	New York, NY	Founder of Not Boring Capital. Writer and angel in ambitious, high-growth internet companies.			https://twitter.com/packym			"site:linkedin.com/in ""Packy McCormick"" investor"	"""Packy McCormick"" investor official"	"""Packy McCormick"" email investor"								13e7e691-a0e1-4d3d-831a-9dbedb6eb953
51	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Mathias Ockenfels	vc	Germany	Hamburg	Founder of Possible Ventures. Expert in deep tech and impact in Europe.			https://twitter.com/mathiasOckenfels			"site:linkedin.com/company ""Mathias Ockenfels"""	"""Mathias Ockenfels"" investor official"	"""Mathias Ockenfels"" email investor"								3eccfe5c-157b-45bd-ab93-043b51b2cdd3
52	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Richard Kerby	vc	USA	New York, NY	Co-founder of Equal Ventures. Former Venrock. Expert in diversity-focused VC.			https://twitter.com/kerby			"site:linkedin.com/company ""Richard Kerby"""	"""Richard Kerby"" investor official"	"""Richard Kerby"" email investor"								147d9121-01fb-476f-804f-797d5d42ab23
53	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Bryce Roberts	vc	USA	Salt Lake City, UT	Co-founder of Indie.vc. Champion of bootstrapped and profitable startups.			https://twitter.com/bryce			"site:linkedin.com/company ""Bryce Roberts"""	"""Bryce Roberts"" investor official"	"""Bryce Roberts"" email investor"								809a65c5-c3d7-4be6-9f3a-2434bfed5d64
54	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Alda Leu Dennis	vc	USA	San Francisco, CA	General Partner at Initialized Capital. Expert in enterprise and developer infrastructure.			https://twitter.com/aldald			"site:linkedin.com/in ""Alda Leu Dennis"" ""Initialized Capital"""	"""Alda Leu Dennis"" ""Initialized Capital"" investor"	"""Alda Leu Dennis"" email investor"								7d392f76-0c6d-41b3-a4f2-fa82b9ce3586
55	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Stephan Morais	vc	Portugal	Lisbon	Managing General Partner at Indico Capital. Expert in Southern European tech ecosystem.			https://twitter.com/stephanmorais			"site:linkedin.com/in ""Stephan Morais"" ""Indico Capital"""	"""Stephan Morais"" ""Indico Capital"" investor"	"""Stephan Morais"" email investor"								8a89c6cd-7b65-4567-b03d-f164f0ce73f8
56	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Santiago Zavala	vc	Mexico	Mexico City	Partner at 500 Mexico. Expert in Mexican and LATAM startup ecosystem.			https://twitter.com/santiagozavala			"site:linkedin.com/company ""Santiago Zavala"""	"""Santiago Zavala"" investor official"	"""Santiago Zavala"" email investor"								725544f1-e9f2-4a42-b10d-6f2cde29654b
57	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Zachariah George	vc	Kenya	Nairobi	Co-founder of Launch Africa. Expert in pan-African early-stage investing.			https://twitter.com/zachariah_g			"site:linkedin.com/company ""Zachariah George"""	"""Zachariah George"" investor official"	"""Zachariah George"" email investor"								d77defa3-8a60-4413-824a-da1199d7d4e4
58	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Sophie Bakalar	vc	USA	New York, NY	Partner at Collaborative Fund. Expert in consumer and impact investing.			https://twitter.com/sophiebakalar			"site:linkedin.com/in ""Sophie Bakalar"" ""Collaborative Fund"""	"""Sophie Bakalar"" ""Collaborative Fund"" investor"	"""Sophie Bakalar"" email investor"								b5cb8fb9-eaf8-4e29-9fad-6d0fb3c2b2cd
59	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Brianne Kimmel	vc	USA	San Francisco, CA	Founder of Worklife Ventures. Expert in future of work and SMB SaaS. Former Zendesk.			https://twitter.com/briannekimmel			"site:linkedin.com/company ""Brianne Kimmel"""	"""Brianne Kimmel"" investor official"	"""Brianne Kimmel"" email investor"								8cc09d09-5edf-4215-ad32-86fed3b2a3f2
60	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Ali Hamed	angel	USA	New York, NY	Co-founder of CoVenture. Expert in alternative assets and fintech. Active angel.			https://twitter.com/ali_hamed			"site:linkedin.com/in ""Ali Hamed"" investor"	"""Ali Hamed"" investor official"	"""Ali Hamed"" email investor"								b440cfb5-cc86-48c6-88f0-7c7b9831b85e
61	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Lo Toney	vc	USA	San Francisco, CA	Founding Managing Partner at Plexo Capital. LP-led fund of funds. Underrepresented founders focus.			https://twitter.com/lotoney			"site:linkedin.com/in ""Lo Toney"" ""Plexo Capital"""	"""Lo Toney"" ""Plexo Capital"" investor"	"""Lo Toney"" email investor"								c91e3ddc-2991-4544-8394-83dd53ce4d8e
62	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Marlon Nichols	vc	USA	Los Angeles, CA	Co-founder of MaC Venture Capital. Expert in underrepresented founders and culturally-driven tech.			https://twitter.com/marlonnichols			"site:linkedin.com/company ""Marlon Nichols"""	"""Marlon Nichols"" investor official"	"""Marlon Nichols"" email investor"								2fc7e49b-699c-4222-a638-f80a8dbc3ba7
63	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Andris Berzins	vc	Latvia	Riga	Co-founder of Change Ventures. Expert in Baltic startup ecosystem (Estonia, Latvia, Lithuania).			https://twitter.com/andrisberzins			"site:linkedin.com/company ""Andris Berzins"""	"""Andris Berzins"" investor official"	"""Andris Berzins"" email investor"								fc8097ad-abd9-4f73-916a-27c5250c76a1
64	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Mackenzie Burnett	vc	USA	San Francisco, CA	Founder of Humba Ventures. Pre-seed specialist for technical founders.			https://twitter.com/mackenzieburnett			"site:linkedin.com/company ""Mackenzie Burnett"""	"""Mackenzie Burnett"" investor official"	"""Mackenzie Burnett"" email investor"								a3d0983e-31ce-4cbd-9af3-7b3d82bba871
65	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Elizabeth Yin	vc	USA	San Francisco, CA	Co-founder of Hustle Fund. Rapid-check pre-seed investor. Expert in speed as a competitive moat.			https://twitter.com/dunkhippo33			"site:linkedin.com/company ""Elizabeth Yin"""	"""Elizabeth Yin"" investor official"	"""Elizabeth Yin"" email investor"								1dad718c-efa7-4a41-a9a2-a9acaf2f4b26
66	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Eric Bahn	vc	USA	San Francisco, CA	Co-founder of Hustle Fund. Pre-seed expert. Former Facebook PM and startup founder.			https://twitter.com/ericbahn			"site:linkedin.com/company ""Eric Bahn"""	"""Eric Bahn"" investor official"	"""Eric Bahn"" email investor"								179102eb-81f6-4ede-a414-1d163a085716
